timestamp,value
1613137603.346, 3342299136
1613137623.346, 3341594624
1613137643.346, 3342409728
1613137663.346, 3342311424
1613137683.346, 3342385152
1613137703.346, 3342352384
1613137723.346, 3341512704
1613137743.346, 3342397440
1613137763.346, 3342159872
1613137783.346, 3342503936
1613137803.346, 3342413824
1613137823.346, 3341705216
1613137843.346, 3342516224
1613137863.346, 3341082624
1613137883.346, 3342434304
1613137903.346, 3342274560
1613137923.346, 3342483456
1613137943.346, 3342417920
1613137963.346, 3342614528
1613137983.346, 3342467072
1613138003.346, 3342438400
1613138023.346, 3341692928
1613138043.346, 3342376960
1613138063.346, 3342413824
1613138083.346, 3341414400
1613138103.346, 3342327808
1613138123.346, 3342393344
1613138143.346, 3342340096
1613138163.346, 3342213120
1613138183.346, 3341467648
1613138203.346, 3342413824
1613138223.346, 3342225408
1613138243.346, 3342233600
1613138263.346, 3342426112
1613138283.346, 3340795904
1613138303.346, 3340374016
1613138323.346, 3341561856
1613138343.346, 3342491648
1613138363.346, 3341201408
1613138383.346, 3342360576
1613138403.346, 3339075584
1613138423.346, 3342315520
1613138443.346, 3341103104
1613138463.346, 3342360576
1613138483.346, 3341651968
1613138503.346, 3341426688
1613138523.346, 3342409728
1613138543.346, 3341070336
1613138563.346, 3341283328
1613138583.346, 3342360576
1613138603.346, 3342401536
1613138623.346, 3340509184
1613138643.346, 3342532608
1613138663.346, 3342483456
1613138683.346, 3342360576
1613138703.346, 3341082624
1613138723.346, 3342573568
1613138743.346, 3341631488
1613138763.346, 3342516224
1613138783.346, 3342430208
1613138803.346, 3342430208
1613138823.346, 3342569472
1613138843.346, 3342405632
1613138863.346, 3342442496
1613138883.346, 3342295040
1613138903.346, 3341582336
1613138923.346, 3342364672
1613138943.346, 3339771904
1613138963.346, 3341094912
1613138983.346, 3342413824
1613139003.346, 3342360576
1613139023.346, 3341619200
1613139043.346, 3341303808
1613139063.346, 3342372864
1613139083.346, 3341029376
1613139103.346, 3340591104
1613139123.346, 3342397440
1613139143.346, 3341651968
1613139163.346, 3340443648
1613139183.346, 3342442496
1613139203.346, 3341733888
1613139223.346, 3342254080
1613139243.346, 3342495744
1613139263.346, 3340505088
1613139283.346, 3342405632
1613139303.346, 3341099008
1613139323.346, 3342487552
1613139343.346, 3342454784
1613139363.346, 3336392704
1613139383.346, 3342278656
1613139403.346, 3342376960
1613139423.346, 3342483456
1613139443.346, 3342487552
1613139463.346, 3342520320
1613139483.346, 3342499840
1613139503.346, 3340840960
1613139523.346, 3342381056
1613139543.346, 3342323712
1613139563.346, 3339063296
1613139583.346, 3336560640
1613139603.346, 3340931072
1613139623.346, 3340976128
1613139643.346, 3340939264
1613139663.346, 3342401536
1613139683.346, 3342315520
1613139703.346, 3338797056
1613139723.346, 3342557184
1613139743.346, 3342557184
1613139763.346, 3342344192
1613139783.346, 3342446592
1613139803.346, 3340414976
1613139823.346, 3339427840
1613139843.346, 3340513280
1613139863.346, 3339882496
1613139883.346, 3339104256
1613139903.346, 3342450688
1613139923.346, 3342524416
1613139943.346, 3342233600
1613139963.346, 3339669504
1613139983.346, 3341406208
1613140003.346, 3342192640
1613140023.346, 3342434304
1613140043.346, 3342176256
1613140063.346, 3340959744
1613140083.346, 3342188544
1613140103.346, 3342225408
1613140123.346, 3331694592
1613140143.346, 3330924544
1613140163.346, 3342196736
1613140183.346, 3342327808
1613140203.346, 3342114816
1613140223.346, 3341266944
1613140243.346, 3342221312
1613140263.346, 3339755520
1613140283.346, 3340853248
1613140303.346, 3342106624
1613140323.346, 3341365248
1613140343.346, 3342442496
